Layer,Name,GEOID,VRPTP_2017-2021
,,,"Preterm births rate (% of births), 2017-2021"
Community area,Rogers Park,1,9.886202
Community area,Norwood Park,10,9.6723044
Community area,Jefferson Park,11,9.5172414
Community area,Forest Glen,12,7.2388831
Community area,North Park,13,8.3255379
Community area,Albany Park,14,10.440678
Community area,Portage Park,15,10.010793
Community area,Irving Park,16,11.002213
Community area,Dunning,17,10.505837
Community area,Montclare,18,9.3421053
Community area,Belmont Cragin,19,10.516129
Community area,West Ridge,2,9.0529753
Community area,Hermosa,20,10.526316
Community area,Avondale,21,10.270031
Community area,Logan Square,22,9.0051121
Community area,Humboldt Park,23,12.397133
Community area,West Town,24,8.0923208
Community area,Austin,25,14.363367
Community area,West Garfield Park,26,15.371477
Community area,East Garfield Park,27,16.606758
Community area,Near West Side,28,9.4384707
Community area,North Lawndale,29,14.5326
Community area,Uptown,3,9.582744
Community area,South Lawndale,30,10.941542
Community area,Lower West Side,31,10.594315
Community area,Loop,32,6.9361005
Community area,Near South Side,33,7.7694236
Community area,Armour Square,34,6.8181818
Community area,Douglas,35,12.749004
Community area,Oakland,36,13.242009
Community area,Fuller Park,37,9.2857143
Community area,Grand Boulevard,38,12.15847
Community area,Kenwood,39,10.53787
Community area,Lincoln Square,4,8.3302617
Community area,Washington Park,40,15.427928
Community area,Hyde Park,41,9.772296
Community area,Woodlawn,42,12.9683
Community area,South Shore,43,14.055081
Community area,Chatham,44,14.149822
Community area,Avalon Park,45,12.043011
Community area,South Chicago,46,13.926816
Community area,Burnside,47,19.014085
Community area,Calumet Heights,48,14.05694
Community area,Roseland,49,14.805306
Community area,North Center,5,8.135833
Community area,Pullman,50,16.304348
Community area,South Deering,51,14.610778
Community area,East Side,52,7.4593796
Community area,West Pullman,53,14.505625
Community area,Riverdale,54,10.791367
Community area,Hegewisch,55,10.647182
Community area,Garfield Ridge,56,10.650224
Community area,Archer Heights,57,8.6474501
Community area,Brighton Park,58,9.9040307
Community area,McKinley Park,59,9.4458438
Community area,Lake View,6,8.4383089
Community area,Bridgeport,60,9.0422368
Community area,New City,61,12.163096
Community area,West Elsdon,62,11.069418
Community area,Gage Park,63,9.569378
Community area,Clearing,64,11.08631
Community area,West Lawn,65,9.6758818
Community area,Chicago Lawn,66,12.378193
Community area,West Englewood,67,16.346154
Community area,Englewood,68,16.277746
Community area,Greater Grand Crossing,69,14.392523
Community area,Lincoln Park,7,7.8556263
Community area,Ashburn,70,11.629996
Community area,Auburn Gresham,71,14.599924
Community area,Beverly,72,10.037879
Community area,Washington Heights,73,14.02439
Community area,Mount Greenwood,74,11.235955
Community area,Morgan Park,75,12.691269
Community area,O'Hare,76,6.4485082
Community area,Edgewater,77,8.624069
Community area,Near North Side,8,8.7605042
Community area,Edison Park,9,9.3457944
